"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41401","change order","chromium","Thu Nov 06 16:23:23 IST 2025","passed","Thu Nov 06 16:24:05 IST 2025","","Orders\AllOrders\ChangeOrder.spec.js","",""
"","40786","Promocode creation for Orders","chromium","Thu Nov 06 16:27:09 IST 2025","passed","Thu Nov 06 16:27:50 IST 2025","","PromoCode\promocodeForOrder.spec.js","",""
"","31822","Export credits - Admin Backoffice","chromium","Thu Nov 06 16:20:14 IST 2025","passed","Thu Nov 06 16:20:46 IST 2025","","Credits\RefundCredits.spec.js","",""
"","68987","order flow","chromium","Thu Nov 06 16:24:15 IST 2025","passed","Thu Nov 06 16:25:24 IST 2025","","Orders\AllOrders\OrderFlow.spec.js","",""
"","47602","upload files","chromium","Thu Nov 06 16:24:56 IST 2025","passed","Thu Nov 06 16:25:44 IST 2025","","Orders\AllOrders\UploadFiles.spec.js","",""
"","36090","Export credits - Admin Backoffice","chromium","Thu Nov 06 16:19:41 IST 2025","passed","Thu Nov 06 16:20:18 IST 2025","","Credits\orderCreditsWithPromocode.spec.js","",""
"","55847","Download Files","chromium","Thu Nov 06 16:23:59 IST 2025","passed","Thu Nov 06 16:24:54 IST 2025","","Orders\AllOrders\DownloadFiles.spec.js","",""
"","34395","Add Card","chromium","Thu Nov 06 16:20:20 IST 2025","passed","Thu Nov 06 16:20:54 IST 2025","","Customers\AddCard.spec.js","",""
"","32835","Delete CCEmail","chromium","Thu Nov 06 16:20:55 IST 2025","passed","Thu Nov 06 16:21:28 IST 2025","","Customers\DeleteCCEmail.spec.js","",""
"","28513","Export customer","chromium","Thu Nov 06 16:21:26 IST 2025","passed","Thu Nov 06 16:21:54 IST 2025","","Customers\ExportCustomer.spec.js","",""
"","23917","Export Employee","chromium","Thu Nov 06 16:22:57 IST 2025","passed","Thu Nov 06 16:23:20 IST 2025","","Employees\ExportEmp.spec.js","",""
"","33048","Order credits with Invoice","chromium","Thu Nov 06 16:19:41 IST 2025","passed","Thu Nov 06 16:20:15 IST 2025","","Credits\orderCreditsWithInvoice.spec.js","",""
"","36027","Activate employee","chromium","Thu Nov 06 16:22:27 IST 2025","passed","Thu Nov 06 16:23:03 IST 2025","","Employees\ActivateEmp.spec.js","",""
"","45312","Order a report with New customer","chromium","Thu Nov 06 16:27:57 IST 2025","failed","Thu Nov 06 16:28:42 IST 2025","","Reports\orderReportNewCustomer.spec.js","",""
"","21573","Navigate to Delivered page","chromium","Thu Nov 06 16:25:24 IST 2025","passed","Thu Nov 06 16:25:45 IST 2025","","Orders\Delivered.spec.js","",""
"","32019","Export credits - Admin Backoffice","chromium","Thu Nov 06 16:19:41 IST 2025","passed","Thu Nov 06 16:20:13 IST 2025","","Credits\ExportCredits.spec.js","",""
"","34726","Delete customer","chromium","Thu Nov 06 16:21:24 IST 2025","passed","Thu Nov 06 16:21:58 IST 2025","","Customers\DeleteCustomer.spec.js","",""
"","45521","update customer","chromium","Thu Nov 06 16:21:54 IST 2025","failed","Thu Nov 06 16:22:40 IST 2025","","Customers\updateCustomer.spec.js","",""
